Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5458001, Wayne County, MI",261635458001,3513,37033.964140577,905,905,243,84.3511,0,1.2977,4.4275
"BG5106003, Wayne County, MI",261635106003,3313,28355.852944409,693,693,31,91.9497,6.1635,0,0
"BG5356003, Wayne County, MI",261635356003,3293,70416.5986312,1035,1035,628,49.2063,50.6803,0,0
"BG5238002, Wayne County, MI",261635238002,2971,44745.538204619,682,682,285,77.7886,7.3386,0,10.1761
"BG5010002, Wayne County, MI",261635010002,2928,42497.955753064,635,635,76,57.1429,39.5833,0,0
"BG5459002, Wayne County, MI",261635459002,2928,26317.2,819,819,217,82.9322,0,0,2.8446
"BG5257003, Wayne County, MI",261635257003,2921,46408.076668104,1174,1174,79,55.9835,0,9.6286,1.4443
"BG5033001, Wayne County, MI",261635033001,2846,39051.096938007,933,933,179,93.8776,5.0093,0,0
"BG5440001, Wayne County, MI",261635440001,2839,37223.675819656,1320,1320,331,68.5525,5.9515,0,4.335
"BG5393002, Wayne County, MI",261635393002,2710,81444.494668989,1545,1545,44,85.4357,0.7313,5.5454,1.6453
"BG5410003, Wayne County, MI",261635410003,2676,54395.841448382,865,865,67,44.3269,7.6923,0,0
"BG5241012, Wayne County, MI",261635241012,2655,23588.258364021,855,855,159,83.3564,5.8252,0,0
"BG5068001, Wayne County, MI",261635068001,2632,45045.146871756,803,803,4,96.5079,0.7937,0,0
"BG5455003, Wayne County, MI",261635455003,2583,11908.068404362,864,864,177,80.8883,0,0,6.9987
"BG5070002, Wayne County, MI",261635070002,2568,34541.534029435,748,748,91,92.4272,4.466,0,0
"BG5421001, Wayne County, MI",261635421001,2521,36817.031527096,934,934,116,88.4058,4.0134,0,0
"BG5056002, Wayne County, MI",261635056002,2497,33914.505189944,867,867,292,62.279,22.7898,0,3.9293
"BG5018002, Wayne County, MI",261635018002,2454,67232.2,838,838,17,82.4087,5.751,0,0
"BG5458002, Wayne County, MI",261635458002,2436,25578.253482396,695,695,180,82.6446,3.1877,0,0
"BG5392003, Wayne County, MI",261635392003,2432,33590.501915231,908,908,2,85.9139,0,0,0
"BG5376001, Wayne County, MI",261635376001,2425,27882.204088018,551,551,125,,0,,0
"BG5471003, Wayne County, MI",261635471003,2397,36975.364917329,992,992,209,77.9689,0.6552,0,0
"BG5384001, Wayne County, MI",261635384001,2389,132318.4374201,660,660,0,82.1994,1.9778,0,5.6171
